"","admin2","year","date","iso","household","individual","male","female","infant","child","youth","adult","elderly","fatalities","event","percent_adult","admin2pop","individual_norm"
"128","El Salam",2017,Dec 2017,"SDN",1430,10170,797,633,10170,NA,1564,4477,3707,3,4,53.6716242373753,413750.074262567,0.0245800560111709
"129","El Salam",2017,Dec 2017,"SDN",1430,10170,797,633,10170,NA,1564,4477,3707,3,4,53.6716242373753,55467.0729438663,0.183352022384383
"130","El Salam",2017,Dec 2017,"SDN",1430,10170,797,633,10170,NA,1564,4477,3707,3,4,53.6716242373753,122082.154297967,0.0833045587906156
"131","El Salam",2017,Dec 2017,"SDN",1430,10170,797,633,10170,NA,1564,4477,3707,3,4,53.6716242373753,413750.074262567,0.0245800560111709
"132","El Salam",2017,Dec 2017,"SDN",1430,10170,5043,5127,1564,NA,4477,3707,421,3,4,53.6716242373753,55467.0729438663,0.183352022384383
"133","El Salam",2017,Dec 2017,"SDN",1430,10170,5043,5127,1564,NA,4477,3707,421,3,4,53.6716242373753,122082.154297967,0.0833045587906156
"134","El Salam",2017,Dec 2017,"SDN",1430,10170,5043,5127,1564,NA,4477,3707,421,3,4,53.6716242373753,413750.074262567,0.0245800560111709
"135","El Salam",2017,Dec 2017,"SDN",1430,10170,5043,5127,1564,NA,4477,3707,421,3,4,53.6716242373753,55467.0729438663,0.183352022384383
"136","El Salam",2017,Dec 2017,"SDN",1430,10170,5043,5127,1564,NA,4477,3707,421,3,4,53.6716242373753,122082.154297967,0.0833045587906156
"137","El Salam",2017,Dec 2017,"SDN",1430,10170,5043,5127,1564,NA,4477,3707,421,3,4,53.6716242373753,413750.074262567,0.0245800560111709
"138","El Salam",2017,Dec 2017,"SDN",1430,10170,5043,5127,1564,NA,4477,3707,421,3,4,53.6716242373753,55467.0729438663,0.183352022384383
"139","El Salam",2017,Dec 2017,"SDN",1430,10170,5043,5127,1564,NA,4477,3707,421,3,4,53.6716242373753,122082.154297967,0.0833045587906156
"140","El Salam",2017,Dec 2017,"SDN",1430,10170,5043,5127,1564,NA,4477,3707,421,3,4,53.6716242373753,413750.074262567,0.0245800560111709
"141","El Salam",2017,Dec 2017,"SDN",1430,10170,5043,5127,1564,NA,4477,3707,421,3,4,53.6716242373753,55467.0729438663,0.183352022384383
"142","El Salam",2017,Dec 2017,"SDN",1430,10170,5043,5127,1564,NA,4477,3707,421,3,4,53.6716242373753,122082.154297967,0.0833045587906156
"143","El Salam",2017,Dec 2017,"SDN",1430,10170,5043,5127,1564,NA,4477,3707,421,3,4,53.6716242373753,413750.074262567,0.0245800560111709
"144","El Salam",2017,Dec 2017,"SDN",1430,10170,797,633,10170,NA,1564,4477,3707,3,4,53.6716242373753,55467.0729438663,0.183352022384383
"145","El Salam",2017,Dec 2017,"SDN",1430,10170,797,633,10170,NA,1564,4477,3707,3,4,53.6716242373753,122082.154297967,0.0833045587906156
"146","El Salam",2017,Dec 2017,"SDN",1430,10170,797,633,10170,NA,1564,4477,3707,3,4,53.6716242373753,413750.074262567,0.0245800560111709
