"","year","admin2","iso","date","household","individual","male","female","infant","child","youth","adult","elderly","admin2pop","percent_adult","individual_norm"
"155",2016,"ASKIRA / UBA","NGA",Mar 2016,805,2621,1148,1473,78,612,790,570,571,NA,51.4150816569066,NA
"156",2016,"ASKIRA / UBA","NGA",Aug 2016,196,1081,498,583,40,140,428,460,13,NA,51.4150816569066,NA
"157",2016,"ASKIRA / UBA","NGA",Oct 2016,195,1077,544,533,40,146,431,453,7,NA,51.4150816569066,NA
"158",2016,"FUFORE","NGA",Dec 2016,1009,5034,2394,2640,378,996,1643,1949,68,2297776.77629406,51.4150816569066,0.00219081333397364
"159",2016,"ASKIRA / UBA","NGA",Dec 2016,1135,6810,3121,3689,181,1107,2414,2930,178,NA,51.4150816569066,NA
"160",2016,"BIU","NGA",Nov 2016,5624,39639,17896,21743,3529,9882,11478,12105,2645,2410072.67329813,51.4150816569066,0.0164472218780668
"161",2016,"KAGA","NGA",Jan 2016,705,4000,1797,2203,111,673,1685,1476,55,2926291.45033707,51.4150816569066,0.00136691784392811
"162",2016,"KALTUNGO","NGA",Nov 2016,134,989,508,481,75,203,323,386,2,NA,51.4150816569066,NA
"163",2016,"ALKALERI","NGA",Nov 2016,34,204,105,99,6,45,65,87,1,NA,51.4150816569066,NA
"164",2016,"GAMAWA","NGA",Dec 2016,278,1609,685,924,143,414,394,546,112,NA,51.4150816569066,NA
"165",2016,"GUBIO","NGA",Nov 2016,1064,5650,2485,3165,201,1306,1665,2103,375,1909513.99776785,51.4150816569066,0.00295886807145935
"166",2016,"BIU","NGA",Oct 2016,534,2655,1193,1462,85,447,1185,837,101,2410072.67329813,51.4150816569066,0.00110162653160442
"167",2016,"GANJUWA","NGA",Nov 2016,214,1299,662,637,120,255,453,379,92,NA,51.4150816569066,NA
"168",2016,"GANJUWA","NGA",Dec 2016,214,1299,655,644,123,272,480,342,82,NA,51.4150816569066,NA
"169",2016,"SHELLENG","NGA",Nov 2016,141,987,434,553,94,201,271,290,131,2014362.361261,51.4150816569066,0.00048998135538143
"170",2016,"DEMSA","NGA",Nov 2016,312,1872,862,1010,179,382,516,670,125,1854137.45866004,51.4150816569066,0.00100963388191988
"171",2016,"SHELLENG","NGA",Dec 2016,130,910,402,508,66,186,237,281,140,2014362.361261,51.4150816569066,0.000451755859571531
"172",2016,"KARASAWA","NGA",Nov 2016,721,5931,2290,3641,511,626,867,3327,600,NA,51.4150816569066,NA
"173",2016,"KARASAWA","NGA",Dec 2016,712,5325,2366,2959,517,719,1117,2305,667,NA,51.4150816569066,NA
"174",2016,"BOGORO","NGA",Nov 2016,480,2671,1184,1487,141,534,845,975,176,NA,51.4150816569066,NA
"175",2016,"NGALA","NGA",Nov 2016,11045,61761,28602,33159,2430,9252,21610,26664,1805,1991646.11337669,51.4150816569066,0.0310100271253956
"176",2016,"NGALA","NGA",Dec 2016,11512,63623,27564,36059,2295,11724,20432,26581,2591,1991646.11337669,51.4150816569066,0.0319449321707719
"177",2016,"GUJBA","NGA",Dec 2016,1959,12740,4946,7794,1675,2592,3630,3456,1387,1902920.11699408,51.4150816569066,0.00669497362828059
"178",2016,"BILLIRI","NGA",Dec 2016,54,421,178,243,5,34,166,213,3,NA,51.4150816569066,NA
"179",2016,"KARIM-LAMIDO","NGA",Nov 2016,54,249,122,127,11,37,59,133,9,NA,51.4150816569066,NA
"180",2016,"GANYE","NGA",Nov 2016,60,478,220,258,73,120,113,125,47,1966109.91724828,51.4150816569066,0.000243119672916862
"181",2016,"BADE","NGA",Dec 2016,2229,17175,7655,9520,1316,2986,4697,6176,2000,2596799.86806283,51.4150816569066,0.00661390976302392
"182",2016,"MICHIKA","NGA",Nov 2016,5446,27230,14293,12937,542,4850,8625,12567,646,3090551.25850183,51.4150816569066,0.00881072589399469
"183",2016,"BADE","NGA",Nov 2016,2236,17183,8024,9159,1747,2955,4053,5785,2643,2596799.86806283,51.4150816569066,0.00661699047790626
"184",2016,"GASHAKA","NGA",Nov 2016,135,616,326,290,56,135,158,234,33,NA,51.4150816569066,NA
"185",2016,"BALANGA","NGA",Nov 2016,340,1850,876,974,129,301,656,725,39,NA,51.4150816569066,NA
"186",2016,"BALANGA","NGA",Dec 2016,340,1850,864,986,125,382,654,662,27,NA,51.4150816569066,NA
"187",2016,"NGANZAI","NGA",Nov 2016,998,5481,2268,3213,383,787,1509,2395,407,2493695.5293492,51.4150816569066,0.00219794274621426
"188",2016,"ZING","NGA",Dec 2016,74,384,210,174,49,65,99,128,43,NA,51.4150816569066,NA
"189",2016,"KARU","NGA",Mar 2016,455,2518,1074,1444,91,273,482,1618,54,NA,51.4150816569066,NA
"190",2016,"BURUKU","NGA",Mar 2016,1446,11444,6628,4816,80,1902,3315,4072,2075,NA,51.4150816569066,NA
